Comment ID,Comment,Category
1,lets not forget that apple pay in 2014 required a brand new iphone...,Product/Subject
2,here in nz 50 of retailers dont even have contactless credit card machines...,Misc./Spam
3,i will forever acknowledge this channel with the help of your lessons...,Creator
4,whenever i go to a place that doesnt take apple pay doesnt happen too often...,Video Setup
5,apple pay is so convenient secure and easy to use...,Product/Subject
6,weve been hounding my bank to adopt apple pay...,Product/Subject
7,we only got apple pay in south africa in 20202021 and its widely accepted,Product/Subject
8,for now i need both apple pay and the physical credit card,Product/Subject
9,in the united states we have an abundance of retailers that accept apple pay...,Product/Subject
10,in cambodia we have a universal qr code system...,Product/Subject
11,wow you really went to town on the psu test rack thats a serious bit of kit...,Video Setup
12,the lab is the most exciting thing in it ive seen for a while this is reallly going to shake up how the qualiity of even basic components are manufactured,Product/Subject
13,linus im an engineer and love the lmg content across all the channels very much looking forward to more lab content and hope your engineering team will get more on camera time and hosting roles,Creator
14,this guy is a total bro not snobby at all and just wants people to enjoy beer in whatever way they want such a contrast with your stereotypical beverage elitists,Creator
15,y’all be picking the literal best professionals for these videos not only is everyone knowledgeable but they all seem passionate and eager to teach us,Creator
16,this guy has a face made for movies a voice made for radio and a great personality i wanna see more of garrett,Creator
17,whenever we get people young enough to actually understand the internet these giant tech companies might be broken up but as long as we have 90 year old senators asking tech ceos how the internet works nothing will get done,Misc./Spam
18,i live for johns roasts of att,Misc./Spam
19,mad respect to john oliver and his team for not making us watch ads during the show major props,Creator
20,one important aspect im surprised was left out is that many of these companies like amazon literally power the internet almost 30 of the websites on the internet are stored on amazon servers giving them even more access to data trends and physical control over the internet,Product/Subject
21,shout to you john oliver for giving me a brief trip down memory lane ive been in the telecommunications industry for almost 25 years and my first job was atmci great company that got swallowed up in a horrible merger with worldcom bing it and see how that disaster played out,Misc./Spam
22,back in 2018 when john oliver did the episode on corporate consolidation it inspired me so much that i applied for a masters of research program got into a program and did my entire research thesis on tech oligopolies it was shocking to see how bad it really is oligopolies that bordered in monopolies are rampant my research essentially focused on the question of whether lack of enforcement of our antitrust laws caused this whole problem or whether lack of adequate laws were the core of the issue the answer was that it was truly both i thoroughly enjoyed my predoctoral masters thesis and am considering a phd in the future its so lovely to see john talk about this specifically on the tech sector edit wow thanks everyone for the great comments i havent published it yet otherwise i would share it with all you lovely people i am now looking for a policy or qualitative researchanalyst job so if anyone is hiring let me know,Misc./Spam
23,john oliver deserves an oscar for his can dolphins love you monologue,Misc./Spam
24,i would love to see these bills live i live in a country where we had one company try and rule the internet charging outrageous prices for it they had specifically bought the copper network to do it the government of nz denied that as a defense as they were monopolising it and forced them to open up suddenly it turned out it didnt cost 300 to connect to unlimited internet you could get that for 80,Misc./Spam
25,hey something that might interest you a couple of days ago my amazon account was closed with no warning for after hours of wasted time theyre telling me its for excessive returns which i think is an error but thats beside the point when they closed my amazon account all my amazon devices that i own for years primarily all my echo devices stopped working i lost access to the amazon photos and prime video which i pay for so apparently the devices you already own are subject to be disabled by amazon on your perceived shopping habits i assume the same applies to all other amazon devices and services like fire os tablets ring cameras and probably aws as well just wanted to make other people aware of this because they definitely dont tell you this when you buy your hardware and services,Misc./Spam
26,points that were missed apple arguably has a specific monopoly in the us with smartphones because of imessage not being open with other multiplatform messaging apps this weirdly only applies in the states the rest of the world favours things like whatsapp and facebook messenger both owned by meta which is its own issue thats probably the main defence apple will bring up theyve been in trouble before but dont forget about microsoft windows 11 has seen them go back to some of their old tricks like a favouring their own software and making it difficult to remove this kind of got glossed over but although google play takes the same cut for purchases as apple you are free to install other app stores and install apps from wherever you like so they avoid the heat there google play is still the most preferred store on android phones so google likely takes advantage of that fact in promoting its own software,Misc./Spam
27,hey hey just a heads up i did turn the led hoodie on its just not very bright hen youre looking faceon at it you can still sort of see it on around the hood area though if you had fun on this video heres my collection of extreme unboxing videos,Product/Subject
28,the safety belt wouldve paired perfectly with the unicycle and those roller boot things,Product/Subject
29,that was seriously the most enjoyable thing ive seen in awhile i forgot how rad this channel is well done sir,Video Setup
30,dude i love how genuine your reactions were ive had fun watching this and not only i was really interested to see what each one of those gadgets did,Video Setup
31,infinity dodecahedrons are seriously cool i bought another smaller one and i really enjoy it its definitely an eye catcher and a conversation starter,Product/Subject
32,i personally enjoy the old school phones i have such a hard time hearing my iphone at max volume without the speaker on if i worked in an office i would definitely buy one people forget how ergonomic those old phones are its not particularly comfortable holding a rectangle to your head i also have physically sensitive ears so any type of headphones ear phones whatever cause me a bunch of pain looks like a good product that can both be a gag and something for people out there like me who have a tough time using a regular mobile phone,Product/Subject
33,the fact he didnt buy the nicholas cage spoon is outrageous,Product/Subject
34,i have to say it after watching this video it feels like the journey youre on this year has been effective it simply feels like youre enjoying life and its what i enjoy most about watching your videos you manage to pass that joy on just the musings of a random stranger,Creator
35,i havent laughed like this for years oh my gosh arun youve nailed this one wendi,Creator
36,quality quality quality is everything about this channel arun makes my mood happier video after video lets be searious the best part about this channel is arun making his jokes and when he shows tech,Creator
37,3252 the reaction from the host is priceless dont agree with some of these opinions,Misc./Spam
38,its time we spend money on where it worths build a system that can direct flood water to drought areas eg california las vegas or at least can store the water,Misc./Spam
39,id really appreciate a study into the potential advantages of meta materials in manipulating light emf heat and even replacing silicon as semiconductors nearly every industry can benefit from the improvements and cost reductions meta materials can provide really enjoy your videos thank you,Product/Subject
40,i was totally shocked that fusion power generation wasnt included possibly as big a leap as quantum computing in its impact on humanity,Product/Subject
41,i love the one about the hydrogen fuel cellsconsidering this technology has been around for about 20 yearsjust hasnt been used due to a lack of pressure on the industry and the fact that the patent was buried by large corporate interests,Product/Subject
42,i like the meme that says ‘if it bites you and you die it’s venomous if you bite it and you die it’s poisonous’ i actually think it sums it up pretty clearly,Misc./Spam
43,i wish that when people talked about types of skin damage theyd acknowledge what that looks like for people with darker skin we dont get red rashes after sunburn even my darkest bruises are often difficult to spot because of hyperpigmentation the stages of healing for cuts looks vastly different because we dont see the same change in colors around the wound sight not to mention when you look for images to identify clinical signs 99 of those images are of lighter skin and only marginally helpful to us looking to identify potentially serious medical issues,Misc./Spam
44,she has a very effective way of delivering information in a way that is accessible love her,Creator
45,if the lead singer is bret michaels then im sure it is poison that had me laughing for ages,Misc./Spam
46,anne is so cool she makes me want to reevaluate my life choices and return to college to become a toxicologist,Creator
47,poison support is one of the more interesting ones of this series im glad to see anne back in the seat and schooling us hoping for more,Creator
48,my son had botox injections in his legs for years to relax his muscles enough so he could wear splits he has cerebral palsy its crazy knowing that this life changing treatment is also the most dangerous poison,Product/Subject
49,my mom wouldve gone nuts for you while i was growing up lol her big parent fear was toxic chemicals and me getting poisoned so she was always lecturing me about stuff under the sink and making sure i didnt touch the pesticides for the farm once she figured out she could call pbs and theyd send her mr yuck stickers the house and barn were covered in them,Misc./Spam
